"","x"
"1","the"
"2","to"
"3","and"
"4","a"
"5","of"
"6","in"
"7","i"
"8","for"
"9","is"
"10","that"
"11","you"
"12","it"
"13","on"
"14","with"
"15","was"
"16","my"
"17","at"
"18","be"
"19","this"
"20","have"
"21","are"
"22","as"
"23","but"
"24","he"
"25","we"
"26","not"
"27","from"
"28","so"
"29","me"
"30","its"
"31","all"
"32","they"
"33","will"
"34","by"
"35","or"
"36","just"
"37","his"
"38","your"
"39","said"
"40","an"
"41","out"
"42","up"
"43","about"
"44","one"
"45","if"
"46","what"
"47","like"
"48","when"
"49","has"
"50","im"
"51","who"
"52","can"
"53","more"
"54","do"
"55","had"
"56","get"
"57","were"
"58","time"
"59","her"
"60","there"
"61","their"
"62","some"
"63","would"
"64","no"
"65","new"
"66","she"
"67","been"
"68","our"
"69","now"
"70","good"
"71","dont"
"72","how"
"73","day"
"74","know"
"75","them"
"76","love"
"77","people"
"78","us"
"79","which"
"80","back"
"81","than"
"82","go"
"83","see"
"84","after"
"85","first"
"86","into"
"87","make"
"88","also"
"89","other"
"90","going"
"91","then"
"92","only"
"93","think"
"94","last"
"95","great"
"96","over"
"97","well"
"98","him"
"99","because"
"100","much"
"101","year"
"102","too"
"103","am"
"104","two"
"105","way"
"106","could"
"107","really"
"108","today"
"109","want"
"110","got"
"111","even"
"112","work"
"113","did"
"114","still"
"115","right"
"116","years"
"117","where"
"118","thanks"
"119","here"
"120","need"
"121","off"
"122","very"
"123","any"
"124","most"
"125","before"
"126","those"
"127","rt"
"128","down"
"129","many"
"130","thats"
"131","life"
"132","take"
"133","cant"
"134","say"
"135","should"
"136","being"
"137","these"
"138","made"
"139","come"
"140","little"
"141","home"
"142","never"
"143","may"
"144","while"
"145","best"
"146","u"
"147","night"
"148","through"
"149","next"
"150","week"
"151","why"
"152","things"
"153","school"
"154","something"
"155","game"
"156","lol"
"157","always"
"158","didnt"
"159","happy"
"160","another"
"161","better"
"162","world"
"163","state"
"164","around"
"165","ive"
"166","every"
"167","youre"
"168","show"
"169","look"
"170","big"
"171","long"
"172","again"
"173","few"
"174","same"
"175","man"
"176","since"
"177","help"
"178","city"
"179","three"
"180","find"
"181","follow"
"182","sure"
"183","such"
"184","feel"
"185","hope"
"186","thing"
"187","days"
"188","own"
"189","getting"
"190","keep"
"191","does"
"192","use"
"193","says"
"194","ill"
"195","each"
"196","lot"
"197","ever"
"198","both"
"199","house"
"200","family"
"201","place"
"202","looking"
"203","let"
"204","put"
"205","until"
"206","tonight"
"207","pm"
"208","though"
"209","part"
"210","give"
"211","team"
"212","doing"
"213","thank"
"214","play"
"215","end"
"216","away"
"217","old"
"218","hes"
"219","book"
"220","th"
"221","everyone"
"222","might"
"223","morning"
"224","start"
"225","free"
"226","high"
"227","during"
"228","season"
"229","used"
"230","oh"
"231","left"
"232","thought"
"233","done"
"234","yes"
"235","friends"
"236","doesnt"
"237","went"
"238","call"
"239","without"
"240","please"
"241","fun"
"242","someone"
"243","st"
"244","found"
"245","against"
"246","god"
"247","tell"
"248","times"
"249","having"
"250","told"
"251","money"
"252","hard"
"253","already"
"254","enough"
"255","bad"
"256","between"
"257","live"
"258","pretty"
"259","came"
"260","yet"
"261","real"
"262","making"
"263","working"
"264","percent"
"265","music"
"266","wait"
"267","million"
"268","set"
"269","try"
"270","s"
"271","job"
"272","second"
"273","food"
"274","once"
"275","makes"
"276","must"
"277","read"
"278","nice"
"279","public"
"280","coming"
"281","theres"
"282","trying"
"283","point"
"284","police"
"285","took"
"286","run"
"287","story"
"288","called"
"289","least"
"290","actually"
"291","top"
"292","different"
"293","under"
"294","kids"
"295","weekend"
"296","business"
"297","everything"
"298","twitter"
"299","open"
"300","soon"
"301","friday"
"302","anything"
"303","win"
"304","nothing"
"305","stop"
"306","later"
"307","tomorrow"
"308","far"
"309","name"
"310","county"
"311","four"
"312","maybe"
"313","head"
"314","guys"
"315","believe"
"316","together"
"317","person"
"318","check"
"319","started"
"320","ago"
"321","bit"
"322","early"
"323","room"
"324","anyone"
"325","kind"
"326","past"
"327","d"
"328","ready"
"329","wanted"
"330","change"
"331","party"
"332","id"
"333","care"
"334","white"
"335","small"
"336","company"
"337","minutes"
"338","talk"
"339","course"
"340","hey"
"341","month"
"342","including"
"343","group"
"344","children"
"345","less"
"346","saw"
"347","watch"
"348","girl"
"349","friend"
"350","amazing"
"351","hit"
"352","months"
"353","water"
"354","news"
"355","almost"
"356","able"
"357","whats"
"358","post"
"359","case"
"360","isnt"
"361","awesome"
"362","probably"
"363","watching"
"364","full"
"365","hours"
"366","hear"
"367","myself"
"368","support"
"369","weeks"
"370","others"
"371","side"
"372","center"
"373","along"
"374","miss"
"375","theyre"
"376","seen"
"377","lets"
"378","line"
"379","black"
"380","haha"
"381","forward"
"382","games"
"383","true"
"384","asked"
"385","students"
"386","wasnt"
"387","office"
"388","beautiful"
"389","car"
"390","president"
"391","idea"
"392","face"
"393","young"
"394","cool"
"395","heart"
"396","using"
"397","taking"
"398","remember"
"399","often"
"400","five"
"401","playing"
"402","class"
"403","plan"
"404","wont"
"405","blog"
"406","mean"
"407","wish"
"408","local"
"409","yeah"
"410","following"
"411","comes"
"412","mind"
"413","however"
"414","whole"
"415","several"
"416","national"
"417","half"
"418","fact"
"419","number"
"420","favorite"
"421","guy"
"422","law"
"423","according"
"424","american"
"425","pay"
"426","women"
"427","summer"
"428","finally"
"429","states"
"430","saturday"
"431","lost"
"432","area"
"433","movie"
"434","become"
"435","late"
"436","power"
"437","country"
"438","else"
"439","monday"
"440","looks"
"441","birthday"
"442","sunday"
"443","add"
"444","health"
"445","bring"
"446","government"
"447","stay"
"448","gonna"
"449","needs"
"450","hate"
"451","red"
"452","excited"
"453","saying"
"454","move"
"455","sometimes"
"456","couple"
"457","thinking"
"458","leave"
"459","community"
"460","phone"
"461","cut"
"462","baby"
"463","word"
"464","series"
"465","special"
"466","park"
"467","program"
"468","w"
"469","instead"
"470","song"
"471","close"
"472","important"
"473","hand"
"474","books"
"475","former"
"476","ask"
"477","john"
"478","meet"
"479","road"
"480","outside"
"481","street"
"482","court"
"483","board"
"484","stuff"
"485","men"
"486","gets"
"487","service"
"488","words"
"489","means"
"490","hot"
"491","list"
"492","question"
"493","either"
"494","deal"
"495","information"
"496","heard"
"497","reading"
"498","whether"
"499","light"
"500","running"
"501","college"
"502","enjoy"
"503","share"
"504","girls"
"505","talking"
"506","quite"
"507","buy"
"508","knew"
"509","future"
"510","social"
"511","behind"
"512","seems"
"513","mom"
"514","event"
"515","members"
"516","wrong"
"517","project"
"518","problem"
"519","april"
"520","york"
"521","turn"
"522","experience"
"523","tweet"
"524","university"
"525","havent"
"526","writing"
"527","video"
"528","shes"
"529","film"
"530","feeling"
"531","system"
"532","ok"
"533","meeting"
"534","rest"
"535","reason"
"536","woman"
"537","history"
"538","rather"
"539","sorry"
"540","goes"
"541","perfect"
"542","south"
"543","given"
"544","thursday"
"545","gave"
"546","across"
"547","third"
"548","guess"
"549","sleep"
"550","especially"
"551","among"
"552","beer"
"553","easy"
"554","san"
"555","front"
"556","chance"
"557","tuesday"
"558","art"
"559","media"
"560","bill"
"561","body"
"562","market"
"563","matter"
"564","moment"
"565","order"
"566","mother"
"567","living"
"568","hour"
"569","starting"
"570","email"
"571","short"
"572","ones"
"573","fans"
"574","points"
"575","decided"
"576","eat"
"577","death"
"578","officials"
"579","shit"
"580","six"
"581","green"
"582","needed"
"583","couldnt"
"584","played"
"585","wants"
"586","coach"
"587","felt"
"588","child"
"589","building"
"590","sweet"
"591","final"
"592","parents"
"593","won"
"594","taken"
"595","north"
"596","hell"
"597","director"
"598","town"
"599","possible"
"600","mr"
"601","online"
"602","near"
"603","cause"
"604","glad"
"605","understand"
"606","store"
"607","large"
"608","lead"
"609","welcome"
"610","within"
"611","available"
"612","march"
"613","tried"
"614","report"
"615","wednesday"
"616","break"
"617","although"
"618","shot"
"619","dinner"
"620","learn"
"621","district"
"622","fall"
"623","visit"
"624","federal"
"625","walk"
"626","department"
"627","spring"
"628","schools"
"629","gone"
"630","pick"
"631","tv"
"632","son"
"633","wonderful"
"634","sense"
"635","hair"
"636","single"
"637","weve"
"638","process"
"639","yourself"
"640","happen"
"641","obama"
"642","write"
"643","bed"
"644","wouldnt"
"645","works"
"646","fire"
"647","paper"
"648","added"
"649","tax"
"650","crazy"
"651","card"
"652","west"
"653","youll"
"654","players"
"655","inside"
"656","drive"
"657","rock"
"658","boy"
"659","record"
"660","site"
"661","known"
"662","looked"
"663","definitely"
"664","space"
"665","field"
"666","lives"
"667","eyes"
"668","seeing"
"669","facebook"
"670","turned"
"671","general"
"672","christmas"
"673","waiting"
"674","sounds"
"675","church"
"676","takes"
"677","send"
"678","loved"
"679","happened"
"680","plans"
"681","funny"
"682","worth"
"683","shows"
"684","major"
"685","super"
"686","spent"
"687","ya"
"688","wife"
"689","ur"
"690","b"
"691","trip"
"692","interesting"
"693","age"
"694","wow"
"695","yesterday"
"696","issue"
"697","recent"
"698","blue"
"699","worked"
"700","air"
"701","level"
"702","giving"
"703","based"
"704","services"
"705","huge"
"706","n"
"707","per"
"708","wanna"
"709","cost"
"710","longer"
"711","hold"
"712","jobs"
"713","strong"
"714","control"
"715","political"
"716","finished"
"717","picture"
"718","conference"
"719","nearly"
"720","ohio"
"721","himself"
"722","lots"
"723","education"
"724","page"
"725","questions"
"726","recently"
"727","likely"
"728","challenge"
"729","la"
"730","seem"
"731","human"
"732","fan"
"733","war"
"734","began"
"735","personal"
"736","goal"
"737","continue"
"738","sent"
"739","fine"
"740","return"
"741","chicago"
"742","clear"
"743","middle"
"744","club"
"745","met"
"746","door"
"747","brown"
"748","ways"
"749","teams"
"750","create"
"751","boys"
"752","lunch"
"753","washington"
"754","coffee"
"755","cold"
"756","youve"
"757","father"
"758","act"
"759","ass"
"760","weather"
"761","bar"
"762","sound"
"763","expected"
"764","include"
"765","perhaps"
"766","dog"
"767","yearold"
"768","fuck"
"769","arent"
"770","issues"
"771","usually"
"772","jersey"
"773","sales"
"774","wine"
"775","p"
"776","david"
"777","voice"
"778","energy"
"779","decision"
"780","brought"
"781","earlier"
"782","simply"
"783","above"
"784","feet"
"785","band"
"786","race"
"787","east"
"788","held"
"789","career"
"790","damn"
"791","problems"
"792","spend"
"793","dead"
"794","stand"
"795","cleveland"
"796","cannot"
"797","became"
"798","research"
"799","step"
"800","cover"
"801","answer"
"802","offer"
"803","ball"
"804","themselves"
"805","campaign"
"806","companies"
"807","america"
"808","piece"
"809","website"
"810","save"
"811","knows"
"812","beat"
"813","forget"
"814","hands"
"815","round"
"816","player"
"817","june"
"818","sign"
"819","join"
"820","luck"
"821","billion"
"822","okay"
"823","football"
"824","star"
"825","simple"
"826","seriously"
"827","moving"
"828","budget"
"829","heat"
"830","mark"
"831","due"
"832","alone"
"833","vote"
"834","action"
"835","whose"
"836","wonder"
"837","daughter"
"838","jesus"
"839","attention"
"840","united"
"841","california"
"842","events"
"843","staff"
"844","bought"
"845","student"
"846","gotta"
"847","wrote"
"848","price"
"849","husband"
"850","drink"
"851","design"
"852","dark"
"853","busy"
"854","stories"
"855","pass"
"856","died"
"857","whatever"
"858","oil"
"859","fight"
"860","current"
"861","low"
"862","details"
"863","received"
"864","example"
"865","sun"
"866","sports"
"867","missed"
"868","training"
"869","beach"
"870","sad"
"871","fresh"
"872","medical"
"873","loss"
"874","main"
"875","plus"
"876","provide"
"877","success"
"878","cup"
"879","council"
"880","james"
"881","track"
"882","omg"
"883","r"
"884","paid"
"885","financial"
"886","exactly"
"887","hospital"
"888","dance"
"889","difficult"
"890","entire"
"891","seven"
"892","paul"
"893","date"
"894","led"
"895","dream"
"896","form"
"897","afternoon"
"898","dr"
"899","practice"
"900","judge"
"901","opportunity"
"902","ideas"
"903","michael"
"904","c"
"905","congrats"
"906","followers"
"907","table"
"908","totally"
"909","louis"
"910","miles"
"911","wear"
"912","despite"
"913","test"
"914","moved"
"915","agree"
"916","followed"
"917","quickly"
"918","interest"
"919","press"
"920","cute"
"921","hall"
"922","safe"
"923","text"
"924","learning"
"925","league"
"926","key"
"927","mine"
"928","view"
"929","message"
"930","focus"
"931","deep"
"932","tickets"
"933","restaurant"
"934","lose"
"935","mothers"
"936","bowl"
"937","itself"
"938","account"
"939","member"
"940","force"
"941","hi"
"942","involved"
"943","learned"
"944","brother"
"945","changes"
"946","tour"
"947","comment"
"948","certain"
"949","photo"
"950","opening"
"951","extra"
"952","tired"
"953","role"
"954","chocolate"
"955","straight"
"956","chief"
"957","gift"
"958","complete"
"959","study"
"960","listen"
"961","choice"
"962","fast"
"963","speak"
"964","kept"
"965","private"
"966","ground"
"967","industry"
"968","completely"
"969","helped"
"970","sick"
"971","chris"
"972","begin"
"973","international"
"974","feels"
"975","created"
"976","workers"
"977","total"
"978","color"
"979","stage"
"980","security"
"981","amount"
"982","x"
"983","release"
"984","truth"
"985","data"
"986","further"
"987","album"
"988","kid"
"989","scene"
"990","calls"
"991","evening"
"992","development"
"993","interested"
"994","character"
"995","style"
"996","starts"
"997","july"
"998","average"
"999","position"
"1000","box"
"1001","review"
"1002","upon"
"1003","catch"
"1004","gives"
"1005","eye"
"1006","listening"
"1007","note"
"1008","economic"
"1009","relationship"
"1010","daily"
"1011","ahead"
"1012","figure"
"1013","internet"
"1014","higher"
"1015","similar"
"1016","pictures"
"1017","type"
"1018","proud"
"1019","beyond"
"1020","dad"
"1021","anyway"
"1022","changed"
"1023","sister"
"1024","statement"
"1025","floor"
"1026","serious"
"1027","minute"
"1028","written"
"1029","sit"
"1030","expect"
"1031","eating"
"1032","economy"
"1033","defense"
"1034","wall"
"1035","property"
"1036","sitting"
"1037","ha"
"1038","heres"
"1039","photos"
"1040","chicken"
"1041","below"
"1042","pain"
"1043","happens"
"1044","manager"
"1045","fell"
"1046","songs"
"1047","biggest"
"1048","groups"
"1049","situation"
"1050","allow"
"1051","portland"
"1052","senior"
"1053","hearing"
"1054","rain"
"1055","bank"
"1056","increase"
"1057","radio"
"1058","cheese"
"1059","spending"
"1060","passed"
"1061","library"
"1062","beginning"
"1063","period"
"1064","spot"
"1065","title"
"1066","performance"
"1067","sale"
"1068","sold"
"1069","hotel"
"1070","ended"
"1071","ice"
"1072","original"
"1073","released"
"1074","trust"
"1075","quality"
"1076","places"
"1077","fair"
"1078","executive"
"1079","land"
"1080","employees"
"1081","lady"
"1082","consider"
"1083","build"
"1084","leaving"
"1085","hurt"
"1086","eight"
"1087","allowed"
"1088","driving"
"1089","river"
"1090","king"
"1091","republican"
"1092","rights"
"1093","finish"
"1094","natural"
"1095","de"
"1096","interview"
"1097","winning"
"1098","present"
"1099","products"
"1100","lovely"
"1101","k"
"1102","whos"
"1103","die"
"1104","tweets"
"1105","version"
"1106","truly"
"1107","runs"
"1108","shop"
"1109","sex"
"1110","wearing"
"1111","poor"
"1112","contact"
"1113","credit"
"1114","cake"
"1115","growing"
"1116","tough"
"1117","g"
"1118","rose"
"1119","cream"
"1120","teacher"
"1121","certainly"
"1122","etc"
"1123","garden"
"1124","warm"
"1125","annual"
"1126","born"
"1127","named"
"1128","earth"
"1129","planning"
"1130","quick"
"1131","clean"
"1132","lord"
"1133","missing"
"1134","walking"
"1135","seemed"
"1136","mention"
"1137","killed"
"1138","absolutely"
"1139","rules"
"1140","glass"
"1141","ride"
"1142","hopefully"
"1143","taste"
"1144","teachers"
"1145","rate"
"1146","hoping"
"1147","potential"
"1148","mike"
"1149","society"
"1150","putting"
"1151","oregon"
"1152","result"
"1153","reach"
"1154","everybody"
"1155","link"
"1156","fear"
"1157","value"
"1158","via"
"1159","areas"
"1160","double"
"1161","projects"
"1162","choose"
"1163","popular"
"1164","computer"
"1165","sort"
"1166","opened"
"1167","quarter"
"1168","families"
"1169","thoughts"
"1170","common"
"1171","ran"
"1172","reported"
"1173","telling"
"1174","attorney"
"1175","grow"
"1176","safety"
"1177","effort"
"1178","leaders"
"1179","aint"
"1180","peace"
"1181","union"
"1182","committee"
"1183","supposed"
"1184","lucky"
"1185","dude"
"1186","characters"
"1187","results"
"1188","blood"
"1189","fit"
"1190","difference"
"1191","gas"
"1192","closed"
"1193","size"
"1194","sat"
"1195","asking"
"1196","loves"
"1197","meant"
"1198","legal"
"1199","romney"
"1200","costs"
"1201","cards"
"1202","caught"
"1203","pieces"
"1204","o"
"1205","winter"
"1206","travel"
"1207","vs"
"1208","nd"
"1209","imagine"
"1210","technology"
"1211","hello"
"1212","texas"
"1213","built"
"1214","mostly"
"1215","weight"
"1216","positive"
"1217","included"
"1218","central"
"1219","apparently"
"1220","officers"
"1221","toward"
"1222","includes"
"1223","realize"
"1224","mix"
"1225","customers"
"1226","bitch"
"1227","regular"
"1228","bus"
"1229","sugar"
"1230","throughout"
"1231","article"
"1232","sell"
"1233","prices"
"1234","watched"
"1235","enjoyed"
"1236","immediately"
"1237","m"
"1238","reality"
"1239","announced"
"1240","appreciate"
