"","V1","V2"
"1","the end of","the"
"2","at the end","of"
"3","the rest of","the"
"4","for the first","time"
"5","thanks for the","follow"
"6","at the same","time"
"7","is going to","be"
"8","one of the","most"
"9","is one of","the"
"10","in the middle","of"
"11","to be able","to"
"12","going to be","a"
"13","when it comes","to"
"14","cant wait to","see"
"15","i dont want","to"
"16","if you want","to"
"17","thank you for","the"
"18","thank you so","much"
"19","its going to","be"
"20","i cant wait","to"
"21","in the united","states"
"22","on the other","hand"
"23","for the rest","of"
"24","by the end","of"
"25","the middle of","the"
"26","i am going","to"
"27","the top of","the"
"28","as well as","the"
"29","one of my","favorite"
"30","a bit of","a"
"31","i was going","to"
"32","i would like","to"
"33","what do you","think"
"34","a lot of","people"
"35","i dont know","what"
"36","was one of","the"
"37","in front of","the"
"38","i wish i","could"
"39","the first time","in"
"40","a member of","the"
"41","said in a","statement"
"42","at the university","of"
"43","to go to","the"
"44","i would love","to"
"45","i want to","be"
"46","have a great","day"
"47","the bottom of","the"
"48","you dont have","to"
"49","have a lot","of"
"50","are you going","to"
"51","on my way","to"
"52","hope to see","you"
"53","going to have","to"
"54","as much as","i"
"55","will be able","to"
"56","i have to","say"
"57","im not going","to"
"58","a little bit","of"
"59","at the top","of"
"60","i was able","to"
"61","the back of","the"
"62","had a great","time"
"63","as a result","of"
"64","in the first","place"
"65","i just want","to"
"66","i thought it","was"
"67","for a long","time"
"68","in the block","of"
"69","i have no","idea"
"70","as part of","the"
"71","happy mothers day","to"
"72","as one of","the"
"73","was going to","be"
"74","to go back","to"
"75","let me know","if"
"76","there are so","many"
"77","nothing to do","with"
"78","be a part","of"
"79","a few years","ago"
"80","i dont have","to"
"81","most of the","time"
"82","as soon as","i"
"83","the best way","to"
"84","thanks so much","for"
"85","i didnt want","to"
"86","we are going","to"
"87","i feel like","i"
"88","hope you have","a"
"89","to get out","of"
"90","end of the","day"
"91","in the form","of"
"92","are going to","be"
"93","in addition to","the"
"94","to be in","the"
"95","i look forward","to"
"96","if you have","a"
"97","you dont want","to"
"98","cant wait for","the"
"99","you so much","for"
"100","the other side","of"
"101","do you want","to"
"102","so much for","the"
"103","do you have","a"
"104","it would be","a"
"105","im going to","be"
"106","the new york","times"
"107","a great way","to"
"108","that awkward moment","when"
"109","to come up","with"
"110","im looking forward","to"
"111","the fact that","i"
"112","in new york","city"
"113","i need to","get"
"114","the beginning of","the"
"115","in the early","s"
"116","looking forward to","the"
"117","in the second","half"
"118","to do with","the"
"119","turned out to","be"
"120","trying to figure","out"
"121","of the united","states"
"122","in the midst","of"
"123","the name of","the"
"124","for those of","you"
"125","are a lot","of"
"126","it was a","great"
"127","for the most","part"
"128","in the late","s"
"129","this is one","of"
"130","in one of","the"
"131","come up with","a"
"132","find a way","to"
"133","be one of","the"
"134","to get back","to"
"135","what are you","doing"
"136","should be able","to"
"137","this is going","to"
"138","to be part","of"
"139","there will be","a"
"140","wait to see","you"
"141","in a way","that"
"142","on the way","to"
"143","there are a","lot"
"144","the start of","the"
"145","not going to","be"
"146","you have a","great"
"147","i had no","idea"
"148","a couple of","years"
"149","to be a","part"
"150","for a couple","of"
"151","some of the","best"
"152","i love you","so"
"153","in the name","of"
"154","to get to","the"
"155","thought it would","be"
"156","you have to","be"
"157","theres a lot","of"
"158","you want to","be"
"159","i dont think","i"
"160","and the rest","of"
"161","to be one","of"
"162","executive director of","the"
"163","it would have","been"
"164","in the face","of"
"165","in and out","of"
"166","for a few","days"
"167","if you dont","have"
"168","at the time","of"
"169","hope all is","well"
"170","with a lot","of"
"171","the only one","who"
"172","you are going","to"
"173","those of you","who"
"174","in the s","and"
"175","did you know","that"
"176","other side of","the"
"177","on top of","the"
"178","and one of","the"
"179","to be on","the"
"180","had a lot","of"
"181","want to go","to"
"182","this is the","first"
"183","for the shout","out"
"184","the only way","to"
"185","the time of","the"
"186","was supposed to","be"
"187","if you are","a"
"188","it will be","a"
"189","love you so","much"
"190","in the process","of"
"191","this is not","a"
"192","a few weeks","ago"
"193","figure out how","to"
"194","from am to","pm"
"195","the center of","the"
"196","with the help","of"
"197","a chance to","win"
"198","when i was","a"
"199","to take care","of"
"200","a great deal","of"
"201","a part of","the"
"202","at the beginning","of"
"203","to make sure","that"
"204","me know if","you"
"205","had a chance","to"
"206","i think it","was"
"207","the side of","the"
"208","and i have","to"
"209","is a lot","of"
"210","over and over","again"
"211","out of the","way"
"212","that there is","a"
"213","take a look","at"
"214","as you can","see"
"215","have no idea","what"
"216","dont want to","be"
"217","for more than","a"
"218","the front of","the"
"219","i can tell","you"
"220","at the bottom","of"
"221","in the history","of"
"222","the heart of","the"
"223","at a time","when"
"224","may or may","not"
"225","i thought i","would"
"226","in a couple","of"
"227","in the case","of"
"228","am i the","only"
"229","we look forward","to"
"230","dont know how","to"
"231","would you like","to"
"232","on the back","of"
"233","in the back","of"
"234","i am not","a"
"235","in the fourth","quarter"
"236","all of a","sudden"
"237","hope you had","a"
"238","know what to","do"
"239","you would like","to"
"240","i really want","to"
"241","all over the","world"
"242","once in a","while"
"243","the s and","s"
"244","to the united","states"
"245","of one of","the"
"246","a spokesman for","the"
"247","would love to","see"
"248","get out of","the"
"249","in the way","of"
"250","you for the","follow"
"251","dont know what","to"
"252","makes me want","to"
"253","the first day","of"
"254","i dont even","know"
"255","for the follow","i"
"256","it was the","first"
"257","what to do","with"
"258","can i get","a"
"259","we were able","to"
"260","contributed to this","report"
"261","a few of","the"
"262","to get rid","of"
"263","the only thing","that"
"264","wont be able","to"
"265","in the near","future"
"266","dont get me","wrong"
"267","the united states","and"
"268","from time to","time"
"269","not the only","one"
"270","i just wanted","to"
"271","this time of","year"
"272","as long as","you"
"273","if you would","like"
"274","be able to","get"
"275","what is going","on"
"276","in the third","quarter"
"277","mothers day to","all"
"278","there is a","lot"
"279","in a long","time"
"280","over the course","of"
"281","i went to","the"
"282","said in an","interview"
"283","think im going","to"
"284","it was one","of"
"285","thanks to everyone","who"
"286","to learn how","to"
"287","not be able","to"
"288","to the fact","that"
"289","i was a","little"
"290","at the age","of"
"291","i was in","the"
"292","it was going","to"
"293","great to see","you"
"294","and a lot","of"
"295","in an effort","to"
"296","have to do","is"
"297","would have to","be"
"298","how much i","love"
"299","in an attempt","to"
"300","in the wake","of"
"301","the size of","the"
"302","there are plenty","of"
"303","have to go","to"
"304","to take advantage","of"
"305","hundreds of thousands","of"
"306","fell in love","with"
"307","i was trying","to"
"308","you know what","i"
"309","i have a","feeling"
"310","want to be","a"
"311","but i dont","think"
"312","to the point","where"
"313","about percent of","the"
"314","at the start","of"
"315","i the only","one"
"316","it has been","a"
"317","forward to seeing","you"
"318","will be at","the"
"319","a look at","the"
"320","for a chance","to"
"321","middle of the","night"
"322","the history of","the"
"323","the us department","of"
"324","to figure out","how"
"325","to check out","the"
"326","if youre going","to"
"327","and i want","to"
"328","player of the","year"
"329","as a way","to"
"330","by the time","i"
"331","out to be","a"
"332","the past two","years"
"333","all the way","to"
"334","let me tell","you"
"335","please follow me","i"
"336","on the side","of"
"337","the majority of","the"
"338","he was going","to"
"339","thank you to","all"
"340","if i had","a"
"341","in the bottom","of"
"342","in the morning","and"
"343","you can do","it"
"344","a few days","ago"
"345","i hope you","have"
"346","look forward to","seeing"
"347","ill let you","know"
"348","i am so","excited"
"349","more than a","year"
"350","thanks for following","me"
"351","my husband and","i"
"352","the th anniversary","of"
"353","i really need","to"
"354","thanks for all","the"
"355","i wanted to","be"
"356","in the right","direction"
"357","would have been","a"
"358","this is what","i"
"359","to keep up","with"
"360","a wide range","of"
"361","the last couple","of"
"362","open to the","public"
"363","in the world","and"
"364","both sides of","the"
"365","that i need","to"
"366","with some of","the"
"367","rest of the","day"
"368","a big fan","of"
"369","the last time","i"
"370","i hate it","when"
"371","not being able","to"
"372","i am trying","to"
"373","not a fan","of"
"374","on a regular","basis"
"375","what is your","favorite"
"376","it is important","to"
"377","have to worry","about"
"378","is part of","the"
"379","for the sake","of"
"380","nice to meet","you"
"381","back in the","day"
"382","was the first","time"
"383","as far as","i"
"384","to the top","of"
"385","the state department","of"
"386","was a lot","of"
"387","it was great","to"
"388","to share with","you"
"389","are some of","the"
"390","in the next","few"
"391","it was time","to"
"392","am looking forward","to"
"393","in love with","the"
"394","to do the","same"
"395","did not want","to"
"396","a few months","ago"
"397","to say that","i"
"398","i think its","a"
"399","thank you very","much"
"400","i will have","to"
"401","please let me","know"
"402","and it was","a"
"403","go back to","the"
"404","over the past","few"
"405","to hear from","you"
"406","this is a","great"
"407","they are going","to"
"408","be part of","the"
"409","to deal with","the"
"410","to learn more","about"
"411","were going to","be"
"412","of some of","the"
"413","have a hard","time"
"414","might be able","to"
"415","we would like","to"
"416","i want you","to"
"417","will be in","the"
"418","you can see","the"
"419","we were going","to"
"420","really looking forward","to"
"421","at the very","least"
"422","awkward moment when","you"
"423","something to do","with"
"424","were not going","to"
"425","a copy of","the"
"426","have the opportunity","to"
"427","to be the","best"
"428","the last day","of"
"429","do not want","to"
"430","have the right","to"
"431","is supposed to","be"
"432","to talk to","you"
"433","the next few","days"
"434","would like to","see"
"435","of the year","and"
"436","you just have","to"
"437","to the end","of"
"438","so i had","to"
"439","he said he","was"
"440","want to make","sure"
"441","is expected to","be"
"442","i know i","know"
"443","over the next","few"
"444","i think im","going"
"445","want to know","what"
"446","on the edge","of"
"447","when you have","a"
"448","its been a","long"
"449","and some of","the"
"450","believe it or","not"
"451","is a good","thing"
"452","its one of","the"
"453","day to all","the"
"454","a glass of","wine"
"455","let us know","if"
"456","i am looking","forward"
"457","the head of","the"
"458","the edge of","the"
"459","a friend of","mine"
"460","the last few","years"
"461","know what you","think"
"462","great to meet","you"
"463","the best part","of"
"464","and i had","to"
"465","for some reason","i"
"466","have a chance","to"
"467","i think this","is"
"468","it is hard","to"
"469","have been able","to"
"470","as a matter","of"
"471","would be a","good"
"472","a result of","the"
"473","at the expense","of"
"474","i used to","be"
"475","i just had","to"
"476","you might want","to"
"477","square feet on","for"
"478","be sure to","check"
"479","have to say","that"
"480","has nothing to","do"
